OBJECT_ID,Location,Latitude ,Longitude ,POI,POI_Encoded,Camera,Camera_Encoded,Population,Population density,Label
1,Dewa EV green charger jumeira beach hotel ,25.14181833,55.19190459,hotel,1,yes,1,7021,4855.578201,1
2,powertech electrical trading LLC ,25.18718951,55.28096242,company,2,yes,1,19715,6761.717058,1
3,EV green charging station ,25.13367637,55.18563066,charging st,0,not_sure,0,4112,880.4798548,1
4,EV-box charging station ,25.10615745,55.19591335,charging st,0,not_sure,0,35469,12990.48965,1
5,tesla destination charger ( Al Barsha),25.11906433,55.20037206,charging st,0,not_sure,0,35469,12990.48965,1
6,DEWA Fast charger ,25.09759942,55.16516295,charging st,0,not_sure,0,5592,1690.599976,1
7,Tesla Destination charger ( jumeirah beach road),25.14224393,55.19123496,charging st,0,not_sure,0,7021,4855.578201,1
8,tesla destination charger (mina a'slam) ,25.1352551,55.18605844,mall,2,yes,1,4112,880.4798548,1
9,tesla destination charger (jumeirah Al Naseem),25.13728513,55.18701605,hotel,1,yes,1,7021,4855.578201,1
10,Tesla destination charger (jumeirah Al Qasr),25.13188308,55.18438736,hotel,1,yes,1,4112,880.4798548,1
11,tesla destination charger ( sheikh zayed road),25.10394382,55.1719896,charging st,0,not_sure,0,5592,1690.599976,1
12,Tesla destination charger (Al A'amal st),25.18593075,55.26318085,charging st,0,not_sure,0,19715,6761.717058,1
13,Tesla destination charger (Marasi Dr),25.1873241,55.27184081,charging st,0,not_sure,0,19715,6761.717058,1
14,dewa charging station 6th st,25.19310549,55.27748134,charging st,0,not_sure,0,18698,10655.61536,1
15,EV charging station ,25.09940285,55.17321716,charging st,0,not_sure,0,22638,26549.58708,1
16,EV charging station ,25.07655578,55.14050293,charging st,0,not_sure,0,55052,11900.52901,1
17,tesla destination charger east crescent ,25.14341329,55.14258545,charging st,0,not_sure,0,22333,1106.5478,1
18,Tesla destination charger Al Falak St,25.09512967,55.15610806,charging st,0,not_sure,0,5592,1690.599976,1
19,Tesla destination Charger palm jumeirah ,25.11189521,55.14156433,hotel,1,yes,1,22333,1106.5478,1
20,Tesla destination charger dubai mall ,25.19895317,55.27666405,mall,2,yes,1,18698,10655.61536,1
21,Tesla destination charger gate village ,25.21345911,55.28242651,hotel,1,yes,1,7509,969.7244961,1
22,dewa ev green charger ( pavilion),25.03029972,55.14654774,hotel,1,yes,1,69115,3691.956093,1
23,dewa ev green charger enoc patrol (alain road),25.22242438,55.31440498,petrol st,0,yes,1,3062,1184.015119,1
24,dewa ev green charger city center parking p1,25.07698131,55.24093392,mall,2,yes,1,7057,2086.942879,1
25,dewa ev green charger aljalila children special hosp,25.2301889,55.31715156,hosp,2,yes,1,4867,1893.002515,1
26,dewa ev green charger etihad musuem parking ,25.24506249,55.27045959,musuem,2,yes,1,14129,1768.667255,1
27,dewa ev green charger the beach ( green parking),25.07928348,55.13396817,jbr,2,yes,1,55052,11900.52901,1
28,dewa ev green charger rashid tower car park,25.24903358,55.31921126,rashid park,2,yes,1,4867,1893.002515,1
29,dewa ev green charger golf club sheikh zayed road,25.08680116,55.15909919,golf club,2,yes,1,17737,5859.311932,1
30,dewa ev green charger Al sada multi story parking,25.23971754,55.35526015,al sada,2,yes,1,18424,6973.485667,1
31,dewa eb green charger my city parking albarsha,25.07387166,55.24162056,mall ,2,yes,1,7057,2086.942879,1
32,dewa ev green charger nad al sheba park ,25.15521962,55.32470442,park,2,yes,1,5485,451.0720442,1
33,dewa ev green charger jumeirah emirates tower,25.22201512,55.2821324,emirates tower,2,yes,1,12155,13769.68516,1
34,dewa ev green charger zabeel plaza,25.22915851,55.29105879,mall,2,yes,1,3062,1184.015119,1
35,dewa ev green charger alkhail police station ,25.07980495,55.21376434,police,2,yes,1,13267,3614.321513,1
36,dewa ev green charger enoc petrol station sheikh zayed rd,25.09771514,55.16505935,petrol st,2,yes,1,5592,1690.599976,1
37,dewa ev green charger dwtc multi story parking,25.24095972,55.35320021,charging st,0,not_sure,0,18424,6973.485667,1
38,dewa ev green charger marina mall parking level 2,25.07767497,55.14084166,mall,2,yes,1,55052,11900.52901,1
39,dewa ev green charger palm jumeira club vista mare,25.11629074,55.141964,hotel ,1,yes,1,22333,1106.5478,1
40,dewa ev green charger golden mile ground flour ,25.10735291,55.14823653,charging st,0,not_sure,0,22333,1106.5478,1
41,dewa ev green charger dubai design district ,25.19405867,55.29792525,district ,0,yes,1,7509,969.7244961,1
42,dewa ev green charger business central tower ,25.10144598,55.1688359,central tower,0,yes,1,5592,1690.599976,1
43,dewa ev green charger la mer meras yellow parking,25.23443814,55.26427962,charging st,0,yes,1,18843,3451.540399,1
44,dewa ev green parking difc gate villiage parking lvl 1,25.21766676,55.27972914,mall,2,yes,1,12155,13769.68516,1
45,dewa ev green parking difc gate villiage parking lvl 3,25.21642434,55.28178908,mall,2,yes,1,12155,13769.68516,1
46,dewa ev green charger health center,25.20534071,55.2845359,hospital,2,yes,1,7509,969.7244961,1
47,"dewa ev green charger , albarsha south park ",25.09127079,55.22996866,park,1,not_sure,0,13267,3614.321513,1
48,"dewa ev green charger , d3 parking 9 basement 1",25.19281601,55.29861189,avenue,0,yes,1,7509,969.7244961,1
49,dewa ev green charger dubai petroleum establishiment ,25.21714423,55.26462318,petrol st,2,yes,1,54338,42645.24196,1
50,dewa ev green charger mercato basmenet floor,25.22201512,55.25535323,mall,2,yes,1,18843,3451.540399,1
51,dewa ev green charger burj khalifa armani hotel,25.20182499,55.27595259,hotel,1,yes,1,18698,10655.61536,1
52,"dewa ev green charger , dubai maritime",25.00551074,55.14877732,charging st,0,not_sure,0,129024,7038.353812,1
53,"dewa ev green charger , boulvard parking 2 level 1",25.19343734,55.27217604,avenue,1,yes,1,18698,10655.61536,1
54,"dewa ev green charger city walk two , basement ",25.21300763,55.26290633,avenue,1,yes,1,54338,42645.24196,1
55,"dewa ev green charger , d3 bldg 11",25.19291471,55.2965522,avenue,1,yes,1,7509,969.7244961,1
56,"dewa ev green charger , boulvard parking 2 lvl 1,pillar 113",25.19289251,55.27280532,avenue,1,yes,1,18698,10655.61536,1
57,"dewa ev green charger hilton garden in hotel , g floor",25.11730079,55.19527175,hotel,1,yes,1,35469,12990.48965,1
58,"dewa ev green charger , customer hapiness center 52 a ST",25.20081211,55.26252683,centre,2,not_sure,0,11156,3398.566382,1
59,"dewa ev green charger , customer hapiness center 8 B ST",25.24757961,55.28110268,centre,2,not_sure,0,21957,21445.11218,1
60,"dewa ev green charger , dubai holding",25.13357853,55.18926577,company,2,yes,1,7021,4855.578201,1
61,"dewa ev green charger , anantara hotel ",25.1337145,55.15311107,hotel,1,yes,1,22333,1106.5478,1
62,dewa ev green charger mall of emirates,25.11869195,55.20125896,mall,2,yes,1,35469,12990.48965,1
63,dewa ev green charger times square ,25.14010551,55.21990732,mall,2,yes,1,26569,7651.154606,1
64,dewa ev green charger al manara muncpility center,25.15836367,55.22754625,center,2,yes,1,6247,5510.24048,1
65,dewa ev green charger al boorsa street ,25.26611111,55.37208296,charging st,1,not_sure,0,10957,6027.782186,1
66,tesla destination charger marina road ,25.08617807,55.13622016,charging st,1,not_sure,0,55052,11900.52901,1
67,tesla destination charger raddison blue ,25.08151392,55.14308661,hotel,1,yes,1,55052,11900.52901,1
68,green parking ev charger rixos premuim jbr marina,25.11571356,55.10841101,hotel,1,yes,1,22333,1106.5478,1
69,tesla destination charger almarsa st,25.07401797,55.12729368,charging st,0,not_sure,0,55052,11900.52901,1
70,tesla destination charger p.o box 97555,25.10352348,55.17295553,charging st,1,not_sure,0,5592,1690.599976,1
71,tesa destination charger bay central ,25.08136131,55.13747378,hotel,0,yes,1,55052,11900.52901,1
72,dewa charging station king salman abdulaziz ,25.09737131,55.152013,charging st,0,not_sure,0,5592,1690.599976,1
73,tesla destination charger the walk ,25.08632819,55.13833206,avenue,1,yes,1,55052,11900.52901,1
74,My City Center - Al Barsha Parking - Dubai,25.07871918,55.24324894,centre,0,yes,1,7057,2086.942879,1
75,Police Station - Al Khail Rd - Al BarshaAl Barsha South - Dubai,25.08369438,55.21509647,police st,1,yes,1,13990,4086.185735,1
76,Park - Al BarshaAl Barsha South - Dubai,25.09737514,55.23157596,park,1,not_sure,0,13267,3614.321513,1
77,"Ground Floor, Business Central Towers - Sheikh Zayed Rd - Al SufouhAl Sufouh 2 - Dubai",25.10621076,55.17129773,building,2,yes,1,5592,1690.599976,1
78,Enoc Petrol Station - Sheikh Zayed Rd - Dubai,25.098686,55.16423458,petrol st,2,yes,1,5592,1690.599976,1
79,Emirates Golf Club - Sheikh Zayed Rd - Emirates Hills 2 - Dubai,25.09003197,55.15758691,golf club,1,yes,1,5592,1690.599976,1
80,The Beach - Green Parking - Al Mamsha St - Dubai Marina - Dubai,25.08250622,55.13390459,avenue,1,yes,1,55052,11900.52901,1
81,"Golden Mile, Ground Floor - Dubai",25.10904908,55.14883672,mall,2,yes,1,22333,1106.5478,1
82,"Club Vista Mare, Palm Jumeira - Dubai",25.11753194,55.14220073,hotel,0,yes,1,22333,1106.5478,1
83,"HAI D3, Bldg 8, Basment 1, Parking 9 - Dubai",25.19142375,55.29716613,avenue,1,yes,1,7509,969.7244961,1
84,"Boulevard Parking 2, Level 1, Pillar 115, Sheikh - Sheikh Mohammed bin Rashid Blvd - Dubai",25.19424408,55.27699405,avenue,1,yes,1,"18698	",10655.61536,1
85,"Boulevard Parking 2, Level 1, Pillar 114, Sheikh - Sheikh Mohammed bin Rashid Blvd - Dubai",25.19253679,55.2728952,avenue,1,yes,1,18698,10655.61536,1
86,Al Manara Centre - Dubai Municipality - Sheikh Zayed Rd - Al Safa 2 - Dubai,25.16059342,55.22768969,centre,0,yes,1,6247,5510.24048,1
87,6th Street Close to Civil Defense Station - Dubai - DEWA Sustainable Building Of,25.15568385,55.23221929,civil defence st,2,yes,1,26569,7651.154606,1
